PvOutput,airTemp,humidity,insolation,windSpeed
0.0073834,0.57352,0.54726,0.011093,0.24897
0.0044772,0.57127,0.54074,0.0089369,0.2531
0.085139,0.43239,0.81019,0.077205,0.18698
0.11488,0.44195,0.79312,0.098772,0.19628
0.14701,0.44897,0.77852,0.12017,0.20558
0.18572,0.45656,0.76626,0.14151,0.20041
0.22751,0.46331,0.75297,0.16243,0.20455
0.26339,0.46978,0.74123,0.18467,0.21074
0.30324,0.47765,0.73002,0.20617,0.22107
0.33579,0.48636,0.71842,0.22798,0.22314
0.36675,0.49789,0.69691,0.25071,0.23037
0.40235,0.50689,0.68244,0.2731,0.2407
0.44273,0.51813,0.66732,0.29502,0.24587
0.47265,0.52713,0.65389,0.31592,0.23244
0.4987,0.53809,0.6376,0.33755,0.21591
0.52129,0.55131,0.61009,0.3599,0.22314
0.54438,0.56199,0.58532,0.38053,0.21591
0.56465,0.57239,0.56303,0.39905,0.23037
0.57986,0.58055,0.55208,0.41541,0.18182
0.56006,0.59179,0.53305,0.4012,0.11674
0.61628,0.605,0.4998,0.42835,0.15599
0.44718,0.60613,0.49681,0.30421,0.090909
0.63983,0.61288,0.4925,0.46637,0.15496
0.40505,0.6095,0.4929,0.28819,0.15806
0.36888,0.60641,0.49185,0.22261,0.12087
0.22724,0.60725,0.47582,0.14668,0.16219
0.25811,0.60753,0.46552,0.15534,0.15289
0.1863,0.60753,0.46239,0.13975,0.17045
0.19408,0.60782,0.45939,0.1428,0.17045
0.48161,0.61231,0.45014,0.26463,0.13223
0.55749,0.63677,0.41429,0.39933,0.089876
0.46836,0.63537,0.39473,0.29114,0.20971
0.77905,0.65589,0.36762,0.62387,0.15083
0.53732,0.66095,0.35406,0.57766,0.19525
0.6735,0.65027,0.38105,0.47397,0.23037
0.28802,0.64633,0.3946,0.22715,0.19938
0.52051,0.65055,0.40412,0.43321,0.14256
0.23334,0.64661,0.3963,0.17037,0.12603
0.29338,0.64043,0.41116,0.19425,0.15702
0.19001,0.64183,0.43762,0.16077,0.20248
0.38144,0.63396,0.44949,0.23302,0.16116
0.39837,0.64886,0.43097,0.34377,0.19112
0.30354,0.63227,0.44218,0.1993,0.18388
0.30945,0.64858,0.43058,0.37049,0.2407
0.33444,0.63565,0.43919,0.19287,0.21281
0.51504,0.64268,0.44701,0.37692,0.18285
0.54675,0.64493,0.44023,0.40792,0.22624
0.20096,0.63087,0.45613,0.19355,0.20041
0.12272,0.61681,0.47712,0.10004,0.20455
0.093317,0.61231,0.46747,0.067489,0.21281
0.30411,0.61625,0.44192,0.17761,0.24174
0.35517,0.62778,0.41481,0.27777,0.23864
0.27612,0.62721,0.42198,0.24633,0.19318
0.093668,0.614,0.4431,0.083413,0.21178
0.087547,0.60416,0.46865,0.068481,0.15289
0.14055,0.60219,0.4869,0.12904,0.2376
0.096032,0.60388,0.47895,0.12184,0.21694
0.034056,0.59629,0.48481,0.02874,0.20764
0.054592,0.5932,0.50358,0.075634,0.18079
0.036169,0.59235,0.49863,0.060948,0.23864
0.021373,0.58729,0.5118,0.038669,0.15496
0.010642,0.58139,0.53344,0.020509,0.12397
0.085859,0.41861,0.82362,0.07775,0.14669
0.11503,0.42423,0.8145,0.099364,0.20971
0.14685,0.42873,0.80759,0.11946,0.21488
0.18519,0.43379,0.80029,0.14214,0.18492
0.22724,0.44363,0.78777,0.16364,0.13533
0.26415,0.45432,0.77434,0.18584,0.19215
0.30269,0.46669,0.76014,0.2074,0.24587
0.33914,0.47962,0.74241,0.2297,0.27169
0.37065,0.49143,0.7265,0.25342,0.18595
0.40447,0.50436,0.71021,0.27534,0.18079
0.46274,0.52066,0.68648,0.30728,0.16529
0.53527,0.53219,0.6638,0.37416,0.18285
0.51338,0.54625,0.64138,0.35813,0.15909
0.52417,0.55777,0.62169,0.3716,0.18182
0.58127,0.56761,0.60435,0.42144,0.20764
0.49713,0.57605,0.58858,0.32281,0.18388
0.51843,0.57858,0.58597,0.43049,0.19938
0.60119,0.58898,0.57359,0.41796,0.16322
0.44128,0.60388,0.54934,0.34682,0.15496
0.63504,0.61231,0.53083,0.47245,0.16632
0.58892,0.61878,0.50997,0.51052,0.18388
0.38442,0.61147,0.51584,0.1875,0.2438
0.57089,0.61934,0.50332,0.44757,0.19628
0.34198,0.61737,0.49602,0.26578,0.17459
0.41833,0.61484,0.49159,0.26497,0.17149
